赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2003-2004,,Portland,Trail Blazers,Dwyane,Wade,
2003-2004,,Utah,Jazz,Chris,Bosh,
2003-2004,,Detroit,Pistons,Boris,Diaw,
2002-2003,,Houston,Rockets,Ming,Yao,
2002-2003,,Phoenix,Suns,Amar'e,Stoudemire,
2002-2003,,Cleveland,Cavaliers,Carlos,Boozer,
2002-2003,,Miami,Heat,Caron,Butler,
2002-2003,,Memphis,Grizzlies,Drew,Gooden,
2001-2002,,San Antonio,Spurs,Tony,Parker,
2001-2002,,Golden State,Warriors,Jason,Richardson,
2001-2002,,Utah,Jazz,Andrei,Kirilenko,
2001-2002,,Memphis,Grizzlies,Shane,Battier,
2001-2002,,Memphis,Grizzlies,Pau,Gasol,
2000-2001,,Orlando,Magic,Mike,Miller,
2000-2001,,Toronto,Raptors,Morris,Peterson,
2000-2001,,Golden State,Warriors,Marc,Jackson,
2000-2001,,New Jersey,Nets,Kenyon,Martin,
2000-2001,,Los Angeles,Clippers,Darius,Miles,
1999-2000,,Houston,Rockets,Steve,Francis,
1999-2000,,Cleveland,Cavaliers,Andre,Miller,
1999-2000,,Minnesota,Timberwolves,Wally,Szczerbiak,
1999-2000,,Chicago,Bulls,Elton,Brand,
1999-2000,,Los Angeles,Clippers,Lamar,Odom,
1998-1999,,Vancouver,Grizzlies,Mike,Bibby,
1998-1999,,Toronto,Raptors,Vince,Carter,
1998-1999,,Sacramento,Kings,Jason,Williams,
1998-1999,,Orlando,Magic,Matt,Harpring,
1998-1999,,Boston,Celtics,Paul,Pierce,
1997-1998,,Cleveland,Cavaliers,Brevin,Knight,
1997-1998,,Boston,Celtics,Ron,Mercer,
1997-1998,,New Jersey,Nets,Keith,Van Horn,
1997-1998,,San Antonio,Spurs,Tim,Duncan,
1997-1998,,Cleveland,Cavaliers,Zydrunas,Ilgauskas,
1996-1997,,Philadelphia,76ers,Allen,Iverson,
1996-1997,,Minnesota,Timberwolves,Stephon,Marbury,
1996-1997,,Vancouver,Grizzlies,Shareef,Abdur-Rahim,
1996-1997,,Boston,Celtics,Antoine,Walker,
1996-1997,,Toronto,Raptors,Marcus,Camby,
1995-1996,,Phoenix,Suns,Michael,Finley,
1995-1996,,Toronto,Raptors,Damon,Stoudamire,
1995-1996,,Denver,Nuggets,Antonio,McDyess,
1995-1996,,Golden State,Warriors,Joe,Smith,
1995-1996,,Philadelphia,76ers,Jerry,Stackhouse,
1995-1996,,Portland,Trail Blazers,Arvydas,Sabonis,
1994-1995,,Los Angeles,Lakers,Eddie,Jones,
1994-1995,,Dallas,Mavericks,Jason,Kidd,
1994-1995,,Sacramento,Kings,Brian,Grant,
1994-1995,,Detroit,Pistons,Grant,Hill,
1994-1995,,Milwaukee,Bucks,Glenn,Robinson,
1993-1994,,Minnesota,Timberwolves,Isaiah,Rider,
1993-1994,,Milwaukee,Bucks,Vin,Baker,
1993-1994,,Orlando,Magic,Penny,Hardaway,
1993-1994,,Dallas,Mavericks,Jamal,Mashburn,
1993-1994,,Golden State,Warriors,Chris,Webber,
1992-1993,,Denver,Nuggets,LaPhonso,Ellis,
1992-1993,,Washington,Bullets,Tom,Gugliotta,
1992-1993,,Minnesota,Timberwolves,Christian,Laettner,
1992-1993,,Charlotte,Hornets,Alonzo,Mourning,
1992-1993,,Orlando,Magic,Shaquille,O'Neal,
1991-1992,,Miami,Heat,Steve,Smith,
1991-1992,,Atlanta,Hawks,Stacey,Augmon,
1991-1992,,Charlotte,Hornets,Larry,Johnson,
1991-1992,,Golden State,Warriors,Billy,Owens,
1991-1992,,Denver,Nuggets,Dikembe,Mutombo,
1990-1991,,Boston,Celtics,Dee,Brown,
1990-1991,,New Jersey,Nets,Derrick,Coleman,
1990-1991,,Charlotte,Hornets,Kendall,Gill,
1990-1991,,Orlando,Magic,Dennis,Scott,
1990-1991,,Sacramento,Kings,Lionel,Simmons,
1989-1990,,Miami,Heat,Sherman,Douglas,
1989-1990,,Golden State,Warriors,Tim,Hardaway,
1989-1990,,Minnesota,Timberwolves,Pooh,Richardson,
1989-1990,,Los Angeles,Lakers,Vlade,Divac,
1989-1990,,San Antonio,Spurs,David,Robinson,
1988-1989,,Philadelphia,76ers,Hersey,Hawkins,
1988-1989,,Golden State,Warriors,Mitch,Richmond,
1988-1989,,San Antonio,Spurs,Willie,Anderson,
1988-1989,,Los Angeles,Clippers,Charles,Smith,
1988-1989,,Indiana,Pacers,Rik,Smits,
1987-1988,,New York,Knicks,Mark,Jackson,
1987-1988,,Sacramento,Kings,Kenny,Smith,
1987-1988,,Phoenix,Suns,Armen,Gilliam,
1987-1988,,Seattle,SuperSonics,Derrick,McKey,
1987-1988,,San Antonio,Spurs,Greg,Anderson,
1986-1987,,Cleveland,Cavaliers,Ron,Harper,
1986-1987,,Indiana,Pacers,Chuck,Person,
1986-1987,,Washington,Bullets,John,Williams,
1986-1987,,Dallas,Mavericks,Roy,Tarpley,
1986-1987,,Cleveland,Cavaliers,Brad,Daugherty,
1985-1986,,Detroit,Pistons,Joe,Dumars,
1985-1986,,Utah,Jazz,Karl,Malone,
1985-1986,,Chicago,Bulls,Charles,Oakley,
1985-1986,,Seattle,SuperSonics,Xavier,Mcdaniel,
1985-1986,,New York,Knicks,Patrick,Ewing,
1984-1985,,Chicago,Bulls,Michael,Jordan,
1984-1985,,Philadelphia,76ers,Charles,Barkley,
1984-1985,,Houston,Rockets,Hakeem,Olajuwon,
1984-1985,,Dallas,Mavericks,Sam,Perkins,
1984-1985,,Portland,Trail Blazers,Sam,Bowie,
1983-1984,,Los Angeles,Lakers,Byron,Scott,
1983-1984,,Washington,Bullets,Jeff,Malone,
1983-1984,,Utah,Jazz,Thurl,Bailey,
1983-1984,,Houston,Rockets,Ralph,Sampson,
1983-1984,,Indiana,Pacers,Stephen,Stipanovich,
1983-1984,,New York,Knicks,Darrell,Walker,
1982-1983,,San Diego,Clippers,Terry,Cummings,
1982-1983,,Atlanta,Hawks,Dominique,Wilkins,
1982-1983,,Los Angeles,Lakers,James,Worthy,
1982-1983,,Chicago,Bulls,Quintin,Dailey,
1982-1983,,Indiana,Pacers,Clark,Kellogg,
1981-1982,,Detroit,Pistons,Isiah,Thomas,
1981-1982,,New Jersey,Nets,Buck,Williams,
1981-1982,,Washington,Bullets,Jeff,Ruland,
1981-1982,,Detroit,Pistons,Raymond,Townsend,
1981-1982,,Dallas,Mavericks,Jay,Vincent,
1980-1981,,Boston,Celtics,Kevin,McHale,
1980-1981,,Golden State,Warriors,Joseph,Carroll,
1980-1981,,Utah,Jazz,Darrell,Griffith,
1980-1981,,Portland,Trail Blazers,Kelvin,Ransey,
1980-1981,,Golden State,Warriors,Larry,Smith,
1979-1980,,Los Angeles,Lakers,Magic,Johnson,
1979-1980,,Boston,Celtics,Larry,Bird,
1979-1980,,New York,Knicks,Bill,Cartwright,
1979-1980,,Chicago,Bulls,David,Greenwood,
1979-1980,,Portland,Trail Blazers,Calvin,Natt,
1978-1979,,Kansas City,Kings,Phil,Ford,
1978-1979,,Portland,Trail Blazers,Leon,Brown,
1978-1979,,Chicago,Bulls,Reggie,Theus,
1978-1979,,Portland,Trail Blazers,Mychal,Thompson,
1978-1979,,Detroit,Pistons,Terry,Tyler,
1977-1978,,Milwaukee,Bucks,Marques,Johnson,
1977-1978,,New Jersey,Nets,Bernard,King,
1977-1978,,Phoenix,Suns,Walter,Davis,
1977-1978,,Los Angeles,Lakers,Norman,Nixon,
1977-1978,,Seattle,SuperSonics,Jack,Sikma,
1976-1977,,Buffalo,Braves,Adrian,Dantley,
1976-1977,,Washington,Bullets,Mitch,Kupchak,
1976-1977,,Phoenix,Suns,Kevin,Loder,
1976-1977,,Houston,Rockets,John,Lucas,
1976-1977,,Chicago,Bulls,Scott,May,
1975-1976,,Golden State,Warriors,Gus,Williams,
1975-1976,,Buffalo,Braves,John,Shumate,
1975-1976,,Phoenix,Suns,Alvan,Adams,
1975-1976,,Portland,Trail Blazers,Lionel,Hollins,
1975-1976,,Houston,Rockets,Joe,Meriweather,
1974-1975,,Kansas City-Omaha,Kings,Scott,Wedman,
1974-1975,,Seattle,SuperSonics,Tom,Burleson,
1974-1975,,Atlanta,Hawks,John,Drew,
1974-1975,,Golden State,Warriors,Jamaal,Wilkes,
1974-1975,,Los Angeles,Lakers,Brian,Winters,
1973-1974,,Buffalo,Braves,Ernie,Digregorio,
1973-1974,,Capital,Bullets,Nick,Weatherspoon,
1973-1974,,Kansas City-Omaha,Kings,Ron,Behagen,
1973-1974,,Phoenix,Suns,Michael,Bantom,
1973-1974,,Atlanta,Hawks,John,Brown,
1972-1973,,Buffalo,Braves,Bob,McAdoo,
1972-1973,,Philadelphia,76ers,Fred,Boyd,
1972-1973,,Cleveland,Cavaliers,Dwight,Davis,
1972-1973,,Portland,Trail Blazers,Lloyd,Neal,
1972-1973,,Los Angeles,Lakers,James,Price,
1971-1972,,Baltimore,Bullets,Phil,Chenier,
1971-1972,,Buffalo,Braves,Elmore,Smith,
1971-1972,,Cleveland,Cavaliers,Austin,Carr,
1971-1972,,Chicago,Bulls,Clifford,Ray,
1971-1972,,Portland,Trail Blazers,Sidney,Wicks,
1970-1971,,Atlanta,Hawks,Pete,Maravich,
1970-1971,,Boston,Celtics,David,Cowens,
1970-1971,,Detroit,Pistons,Bob,Lanier,
1970-1971,,San Diego,Rockets,Calvin,Murphy,
1970-1971,,Portland,Trail Blazers,Geoff,Petrie,
1969-1970,,Milwaukee,Bucks,Bob,Dandridge,
1969-1970,,Los Angeles,Lakers,Dean,Garrett,
1969-1970,,Boston,Celtics,Joe,White,
1969-1970,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,
1969-1970,,Baltimore,Bullets,Lawrence,Hill,
1968-1969,,San Diego,Rockets,Elvin,Hayes,
1968-1969,,Baltimore,Bullets,Wes,Unseld,
1968-1969,,Phoenix,Suns,Gary,Gregor,
1968-1969,,Seattle,SuperSonics,Garfield,Heard,
1968-1969,,Los Angeles,Lakers,Douglas,Holcomb,
1967-1968,,New York,Knicks,Walt,Frazier,
1967-1968,,Baltimore,Bullets,Earl,Monroe,
1967-1968,,New York,Knicks,Phil,Jackson,
1967-1968,,Seattle,SuperSonics,John,Rudd,
1967-1968,,Seattle,SuperSonics,Richard,Triptow,
1966-1967,,Detroit,Pistons,David,Bing,
1966-1967,,St. Louis,Hawks,Lou,Hudson,
1966-1967,,Baltimore,Bullets,Jack,Marin,
1966-1967,,Chicago,Bulls,Erwin,Mueller,
1966-1967,,New York,Knicks,Cazzie,Russell,
1965-1966,,New York,Knicks,Hal,Uplinger,
1965-1966,,San Francisco,Warriors,Rick,Barry,
1965-1966,,Philadelphia,76ers,William,Cunningham,
1965-1966,,San Francisco,Warriors,Fred,Hetzel,
1965-1966,,Detroit,Pistons,Thomas,Van Arsdale,
1964-1965,,Philadelphia,76ers,Luke,Jackson,
1964-1965,,New York,Knicks,Willis,Reed,
1964-1965,,New York,Knicks,Ralph,Beard,
1964-1965,,Detroit,Pistons,Joe,Caldwell,
1964-1965,,Baltimore,Bullets,Wali,Jones,
1964-1965,,New York,Knicks,Howard,Komives,
1963-1964,,Cincinnati,Royals,Jerry,Lucas,
1963-1964,,Baltimore,Bullets,Gus,Johnson,
1963-1964,,San Francisco,Warriors,Nathaniel,Thurmond,
1963-1964,,New York,Knicks,Arthur,Heyman,
1963-1964,,Baltimore,Bullets,Rod,Thorn,
1962-1963,,Syracuse,Nationals,Milt,Wagner,
1962-1963,,Boston,Celtics,John,Havlicek,
1962-1963,,Detroit,Pistons,Dave,DeBusschere,
1962-1963,,St. Louis,Hawks,Zelmo,Beaty,
1962-1963,,Chicago,Zephyrs,Terry,Dischinger,
