赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2017-2018,,Los Angeles,Clippers,Floyd,McCloud,
2017-2018,,Minnesota,Timberwolves,Ayrton,Covington,
2016-2017,,Los Angeles,Lakers,Ivica,Zubac,
2016-2017,,Los Angeles,Lakers,Pascal,Siakam,
2016-2017,,Denver,Nuggets,Domantas,Sabonis,
2015-2016,,Phoenix,Suns,Jahlil,Okafor,
2015-2016,,Minnesota,Timberwolves,Emmanuel,Mudiay,
2015-2016,,Cleveland,Cavaliers,Kelvin,Boeheim,
2015-2016,,Toronto,Raptors,Royce,O'Neale,
2015-2016,,Utah,Jazz,Devin,Booker,
2014-2015,,Indiana,Pacers,Marcus,Smart,
2014-2015,,New Orleans,Pelicans,Aaron,Gordon,
2014-2015,,Houston,Rockets,Dario,Saric,
2014-2015,,Orlando,Magic,Kyle,Anderson,
2014-2015,,Utah,Jazz,Andrew,Wiggins,
2013-2014,,Utah,Jazz,Otto,Porter,
2013-2014,,New York,Knicks,Alec,Burks,
2013-2014,,New Orleans,Pelicans,Daniel,Theis,
2012-2013,,New York,Knicks,Franklin,Kersey,
2012-2013,,Brooklyn,Nets,Leon,Karl,
2012-2013,,Minnesota,Timberwolves,John,Henson,
2012-2013,,Denver,Nuggets,Harrison,Barnes,
2012-2013,,Los Angeles,Lakers,Khris,Middleton,
2011-2012,,Los Angeles,Clippers,Jeremy,Lin,
2011-2012,,Golden State,Warriors,Kenneth,Faried,
2011-2012,,Dallas,Mavericks,Klay,Thompson,
2011-2012,,Los Angeles,Lakers,Nikola,Vucevic,
2011-2012,,Philadelphia,76ers,Kemba,Walker,
2010-2011,,Phoenix,Suns,Derrick,Favors,
2010-2011,,Charlotte,Bobcats,Al-Farouq,Aminu,
2010-2011,,Milwaukee,Bucks,Evan,Turner,
2010-2011,,Orlando,Magic,Abraham,Rodman,
2010-2011,,Minnesota,Timberwolves,Chuck,Augmon,
2009-2010,,Los Angeles,Clippers,Ricky,Rubio,
2009-2010,,New Jersey,Nets,Jeff,Teague,
2009-2010,,Detroit,Pistons,Jrue,Holiday,
2009-2010,,Toronto,Raptors,DeMar,DeRozan,
2009-2010,,Golden State,Warriors,DeJuan,Blair,
2008-2009,,Boston,Celtics,Justin,Carr,
2008-2009,,Los Angeles,Clippers,Darren,Bowman,
2008-2009,,Philadelphia,76ers,J.J.,Hickson,
2008-2009,,Milwaukee,Bucks,Serge,Ibaka,
2008-2009,,Houston,Rockets,O.J.,Mayo,
2007-2008,,Los Angeles,Lakers,Jianlian,Yi,
2007-2008,,Washington,Wizards,Mike,Conley,
2007-2008,,Memphis,Grizzlies,Nick,Young,
2007-2008,,Atlanta,Hawks,Al,Thornton,
2007-2008,,Minnesota,Timberwolves,Clark,Irving,
2006-2007,,Dallas,Mavericks,Jordan,Farmar,
2006-2007,,Charlotte,Bobcats,Brandon,Roy,
2006-2007,,Portland,Trail Blazers,LaMarcus,Aldridge,
2006-2007,,New York,Knicks,Rajon,Rondo,
2006-2007,,Toronto,Raptors,Pooh,Jeter,
2005-2006,,New York,Knicks,Danny,Granger,
2005-2006,,Atlanta,Hawks,Deron,Williams,
2005-2006,,Golden State,Warriors,Brandon,Bass,
2005-2006,,Houston,Rockets,Gerald,Green,
2005-2006,,Philadelphia,76ers,Francisco,Garcia,
2004-2005,,Denver,Nuggets,J.R.,Smith,
2004-2005,,Orlando,Magic,Anderson,Varejao,
2004-2005,,Indiana,Pacers,Josh,Smith,
2004-2005,,Toronto,Raptors,Rafael,Araujo,
2004-2005,,Dallas,Mavericks,Beno,Udrih,
2003-2004,,Memphis,Grizzlies,Chris,Kaman,
2003-2004,,Orlando,Magic,T.J.,Ford,
2003-2004,,New Orleans,Hornets,Kyle,Korver,
2003-2004,,New Jersey,Nets,David,West,
2003-2004,,Seattle,SuperSonics,Lenny,York,
2002-2003,,Chicago,Bulls,Jay,Williams,
2002-2003,,Denver,Nuggets,Nene,Hilario,
2002-2003,,San Antonio,Spurs,Manu,Ginobili,
2002-2003,,Golden State,Warriors,Danny,Fortson,
2002-2003,,Cleveland,Cavaliers,Dajuan,Wagner,
2001-2002,,Indiana,Pacers,Jamaal,Tinsley,
2001-2002,,Houston,Rockets,Eddie,Griffin,
2001-2002,,New Jersey,Nets,Richard,Jefferson,
2001-2002,,Phoenix,Suns,Joe,Johnson,
2001-2002,,Seattle,SuperSonics,Vladimir,Radmanovic,
2001-2002,,Detroit,Pistons,Zeljko,Rebraca,
2000-2001,,Washington,Wizards,Courtney,Alexander,
2000-2001,,Chicago,Bulls,Marcus,Fizer,
2000-2001,,Seattle,SuperSonics,Desmond,Mason,
2000-2001,,Sacramento,Kings,Hedo,Turkoglu,
2000-2001,,Cleveland,Cavaliers,Chris,Mihm,
1999-2000,,Orlando,Magic,Chucky,Atkins,
1999-2000,,Phoenix,Suns,Shawn,Marion,
1999-2000,,Atlanta,Hawks,Jason,Terry,
1999-2000,,Chicago,Bulls,Ron,Artest,
1999-2000,,Denver,Nuggets,James,Posey,
1998-1999,,Houston,Rockets,Michael,Dickerson,
1998-1999,,Houston,Rockets,Cuttino,Mobley,
1998-1999,,Golden State,Warriors,Antawn,Jamison,
1998-1999,,Orlando,Magic,Michael,Doleac,
1998-1999,,Los Angeles,Clippers,Michael,Olowokandi,
1997-1998,,Cleveland,Cavaliers,Derek,Anderson,
1997-1998,,Denver,Nuggets,Bobby,Jackson,
1997-1998,,Cleveland,Cavaliers,Cedric E.,Henderson,
1997-1998,,Los Angeles,Clippers,Maurice,Taylor,
1997-1998,,Philadelphia,76ers,Tim,Thomas,
1996-1997,,Milwaukee,Bucks,Ray,Allen,
1996-1997,,New Jersey,Nets,Kerry,Kittles,
1996-1997,,Houston,Rockets,Matt,Maloney,
1996-1997,,Los Angeles,Lakers,Kobe,Bryant,
1996-1997,,Los Angeles,Lakers,Travis,Knight,
1995-1996,,Los Angeles,Clippers,Brent,Barry,
1995-1996,,Sacramento,Kings,Tyus,Edney,
1995-1996,,Minnesota,Timberwolves,Kevin,Garnett,
1995-1996,,Washington,Bullets,Rasheed,Wallace,
1995-1996,,Vancouver,Grizzlies,Bryant,Reeves,
1994-1995,,Denver,Nuggets,Jalen,Rose,
1994-1995,,Washington,Bullets,Juwan,Howard,
1994-1995,,Golden State,Warriors,Donyell,Marshall,
1994-1995,,Phoenix,Suns,Wesley,Person,
1994-1995,,Boston,Celtics,Eric,Montross,
1994-1995,,Philadelphia,76ers,Sharone,Wright,
1993-1994,,Detroit,Pistons,Lindsey,Hunter,
1993-1994,,Los Angeles,Lakers,Nick,Van Exel,
1993-1994,,Chicago,Bulls,Toni,Kukoc,
1993-1994,,Philadelphia,76ers,Shawn,Bradley,
1993-1994,,Boston,Celtics,Dino,Radja,
1992-1993,,Golden State,Warriors,Latrell,Sprewell,
1992-1993,,Houston,Rockets,Robert,Horry,
1992-1993,,Philadelphia,76ers,Clarence,Weatherspoon,
1992-1993,,Sacramento,Kings,Walt,Williams,
1992-1993,,Phoenix,Suns,Richard,Dumas,
1991-1992,,Cleveland,Cavaliers,Terrell,Brandon,
1991-1992,,Denver,Nuggets,Mark,Macon,
1991-1992,,Boston,Celtics,Rick,Fox,
1991-1992,,Washington,Bullets,Larry,Stewart,
1991-1992,,Orlando,Magic,Stanley,Roberts,
1990-1991,,Denver,Nuggets,Mahmoud,Abdul-Rauf,
1990-1991,,Miami,Heat,Willie,Burton,
1990-1991,,Seattle,SuperSonics,Gary,Payton,
1990-1991,,Minnesota,Timberwolves,Felton,Spencer,
1990-1991,,Sacramento,Kings,Travis,Mays,
1989-1990,,Utah,Jazz,Blue,Edwards,
1989-1990,,San Antonio,Spurs,Sean,Elliott,
1989-1990,,Charlotte,Hornets,J.R.,Reid,
1989-1990,,Miami,Heat,Glen,Rice,
1989-1990,,Chicago,Bulls,Stacey,King,
1988-1989,,Charlotte,Hornets,Rex,Chapman,
1988-1989,,Miami,Heat,Kevin,Edwards,
1988-1989,,Boston,Celtics,Brian,Shaw,
1988-1989,,New York,Knicks,Rod,Strickland,
1988-1989,,New Jersey,Nets,Chris,Morris,
