赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2000-2001,,Sacramento,Kings,Chris,Webber,
2000-2001,,Los Angeles,Lakers,Shaquille,O'Neal,
1999-2000,,Phoenix,Suns,Jason,Kidd,
1999-2000,,Seattle,SuperSonics,Gary,Payton,
1999-2000,,San Antonio,Spurs,Tim,Duncan,
1999-2000,,Minnesota,Timberwolves,Kevin,Garnett,
1999-2000,,Los Angeles,Lakers,Shaquille,O'Neal,
1998-1999,,Philadelphia,76ers,Allen,Iverson,
1998-1999,,Phoenix,Suns,Jason,Kidd,
1998-1999,,San Antonio,Spurs,Tim,Duncan,
1998-1999,,Utah,Jazz,Karl,Malone,
1998-1999,,Miami,Heat,Alonzo,Mourning,
1997-1998,,Seattle,SuperSonics,Gary,Payton,
1997-1998,,Chicago,Bulls,Michael,Jordan,
1997-1998,,San Antonio,Spurs,Tim,Duncan,
1997-1998,,Utah,Jazz,Karl,Malone,
1997-1998,,Los Angeles,Lakers,Shaquille,O'Neal,
1996-1997,,Miami,Heat,Tim,Hardaway,
1996-1997,,Chicago,Bulls,Michael,Jordan,
1996-1997,,Detroit,Pistons,Grant,Hill,
1996-1997,,Utah,Jazz,Karl,Malone,
1996-1997,,Houston,Rockets,Hakeem,Olajuwon,
1995-1996,,Orlando,Magic,Penny,Hardaway,
1995-1996,,Chicago,Bulls,Michael,Jordan,
1995-1996,,Utah,Jazz,Karl,Malone,
1995-1996,,Chicago,Bulls,Scottie,Pippen,
1995-1996,,San Antonio,Spurs,David,Robinson,
1994-1995,,Orlando,Magic,Penny,Hardaway,
1994-1995,,Utah,Jazz,John,Stockton,
1994-1995,,Utah,Jazz,Karl,Malone,
1994-1995,,Chicago,Bulls,Scottie,Pippen,
1994-1995,,San Antonio,Spurs,David,Robinson,
1993-1994,,Golden State,Warriors,Latrell,Sprewell,
1993-1994,,Utah,Jazz,John,Stockton,
1993-1994,,Utah,Jazz,Karl,Malone,
1993-1994,,Chicago,Bulls,Scottie,Pippen,
1993-1994,,Houston,Rockets,Hakeem,Olajuwon,
1992-1993,,Chicago,Bulls,Michael,Jordan,
1992-1993,,Cleveland,Cavaliers,Mark,Price,
1992-1993,,Phoenix,Suns,Charles,Barkley,
1992-1993,,Utah,Jazz,Karl,Malone,
1992-1993,,Houston,Rockets,Hakeem,Olajuwon,
1991-1992,,Chicago,Bulls,Michael,Jordan,
1991-1992,,Portland,Trail Blazers,Clyde,Drexler,
1991-1992,,Utah,Jazz,Karl,Malone,
1991-1992,,Golden State,Warriors,Chris,Mullin,
1991-1992,,San Antonio,Spurs,David,Robinson,
1990-1991,,Chicago,Bulls,Michael,Jordan,
1990-1991,,Los Angeles,Lakers,Magic,Johnson,
1990-1991,,Philadelphia,76ers,Charles,Barkley,
1990-1991,,Utah,Jazz,Karl,Malone,
1990-1991,,San Antonio,Spurs,David,Robinson,
1989-1990,,Chicago,Bulls,Michael,Jordan,
1989-1990,,Los Angeles,Lakers,Magic,Johnson,
1989-1990,,Philadelphia,76ers,Charles,Barkley,
1989-1990,,Utah,Jazz,Karl,Malone,
1989-1990,,New York,Knicks,Patrick,Ewing,
1988-1989,,Chicago,Bulls,Michael,Jordan,
1988-1989,,Los Angeles,Lakers,Magic,Johnson,
1988-1989,,Philadelphia,76ers,Charles,Barkley,
1988-1989,,Utah,Jazz,Karl,Malone,
1988-1989,,Houston,Rockets,Hakeem,Olajuwon,
1987-1988,,Chicago,Bulls,Michael,Jordan,
1987-1988,,Los Angeles,Lakers,Magic,Johnson,
1987-1988,,Philadelphia,76ers,Charles,Barkley,
1987-1988,,Boston,Celtics,Larry,Bird,
1987-1988,,Houston,Rockets,Hakeem,Olajuwon,
1986-1987,,Chicago,Bulls,Michael,Jordan,
1986-1987,,Los Angeles,Lakers,Magic,Johnson,
1986-1987,,Boston,Celtics,Larry,Bird,
1986-1987,,Boston,Celtics,Kevin,McHale,
1986-1987,,Houston,Rockets,Hakeem,Olajuwon,
1985-1986,,Los Angeles,Lakers,Magic,Johnson,
1985-1986,,Detroit,Pistons,Isiah,Thomas,
1985-1986,,Boston,Celtics,Larry,Bird,
1985-1986,,Atlanta,Hawks,Dominique,Wilkins,
1985-1986,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1984-1985,,Los Angeles,Lakers,Magic,Johnson,
1984-1985,,Detroit,Pistons,Isiah,Thomas,
1984-1985,,Boston,Celtics,Larry,Bird,
1984-1985,,New York,Knicks,Bernard,King,
1984-1985,,Philadelphia,76ers,Moses,Malone,
1983-1984,,Los Angeles,Lakers,Magic,Johnson,
1983-1984,,Detroit,Pistons,Isiah,Thomas,
1983-1984,,Boston,Celtics,Larry,Bird,
1983-1984,,New York,Knicks,Bernard,King,
1983-1984,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1982-1983,,Los Angeles,Lakers,Magic,Johnson,
1982-1983,,Milwaukee,Bucks,Sidney,Moncrief,
1982-1983,,Boston,Celtics,Larry,Bird,
1982-1983,,Philadelphia,76ers,Julius,Erving,
1982-1983,,Philadelphia,76ers,Moses,Malone,
1981-1982,,San Antonio,Spurs,George,Gervin,
1981-1982,,Seattle,SuperSonics,Gus,Williams,
1981-1982,,Boston,Celtics,Larry,Bird,
1981-1982,,Philadelphia,76ers,Julius,Erving,
1981-1982,,Houston,Rockets,Moses,Malone,
1980-1981,,San Antonio,Spurs,George,Gervin,
1980-1981,,Phoenix,Suns,Dennis,Johnson,
1980-1981,,Boston,Celtics,Larry,Bird,
1980-1981,,Philadelphia,76ers,Julius,Erving,
1980-1981,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1979-1980,,San Antonio,Spurs,George,Gervin,
1979-1980,,Phoenix,Suns,Paul,Westphal,
1979-1980,,Boston,Celtics,Larry,Bird,
1979-1980,,Philadelphia,76ers,Julius,Erving,
1979-1980,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1978-1979,,San Antonio,Spurs,George,Gervin,
1978-1979,,Phoenix,Suns,Paul,Westphal,
1978-1979,,Washington,Bullets,Elvin,Hayes,
1978-1979,,Milwaukee,Bucks,Marques,Johnson,
1978-1979,,Houston,Rockets,Moses,Malone,
1977-1978,,San Antonio,Spurs,George,Gervin,
1977-1978,,Denver,Nuggets,David,Thompson,
1977-1978,,Philadelphia,76ers,Julius,Erving,
1977-1978,,New Orleans,Jazz,Rick,Robey,
1977-1978,,Portland,Trail Blazers,Bill,Walton,
1976-1977,,New Orleans,Jazz,Pete,Maravich,
1976-1977,,Phoenix,Suns,Paul,Westphal,
1976-1977,,Washington,Bullets,Elvin,Hayes,
1976-1977,,Denver,Nuggets,David,Thompson,
1976-1977,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,
1975-1976,,Kansas City,Kings,Nathaniel,Archibald,
1975-1976,,New Orleans,Jazz,Pete,Maravich,
1975-1976,,Golden State,Warriors,Rick,Barry,
1975-1976,,Philadelphia,76ers,George,McGinnis,
1975-1976,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1974-1975,,New York,Knicks,Walt,Frazier,
1974-1975,,Kansas City-Omaha,Kings,Nathaniel,Archibald,
1974-1975,,Golden State,Warriors,Rick,Barry,
1974-1975,,Washington,Bullets,Elvin,Hayes,
1974-1975,,Buffalo,Braves,Bob,McAdoo,
1973-1974,,New York,Knicks,Walt,Frazier,
1973-1974,,Los Angeles,Lakers,Gail,Goodrich,
1973-1974,,Boston,Celtics,John,Havlicek,
1973-1974,,Golden State,Warriors,Rick,Barry,
1973-1974,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,
1972-1973,,Kansas City-Omaha,Kings,Nathaniel,Archibald,
1972-1973,,Los Angeles,Lakers,Jerry,West,
1972-1973,,Boston,Celtics,John,Havlicek,
1972-1973,,Seattle,SuperSonics,Spencer,Haywood,
1972-1973,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,
1971-1972,,New York,Knicks,Walt,Frazier,
1971-1972,,Los Angeles,Lakers,Jerry,West,
1971-1972,,Boston,Celtics,John,Havlicek,
1971-1972,,Seattle,SuperSonics,Spencer,Haywood,
1971-1972,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,
1970-1971,,Detroit,Pistons,David,Bing,
1970-1971,,Los Angeles,Lakers,Jerry,West,
1970-1971,,Boston,Celtics,John,Havlicek,
1970-1971,,Philadelphia,76ers,William,Cunningham,
1970-1971,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,
1969-1970,,New York,Knicks,Walt,Frazier,
1969-1970,,Los Angeles,Lakers,Jerry,West,
1969-1970,,Philadelphia,76ers,William,Cunningham,
1969-1970,,Phoenix,Suns,Cornelius,Hawkins,
1969-1970,,New York,Knicks,Willis,Reed,
1968-1969,,Cincinnati,Royals,Oscar,Robertson,
1968-1969,,Baltimore,Bullets,Earl,Monroe,
1968-1969,,Philadelphia,76ers,William,Cunningham,
1968-1969,,Los Angeles,Lakers,Elgin,Baylor,
1968-1969,,Baltimore,Bullets,Wes,Unseld,
1967-1968,,Cincinnati,Royals,Oscar,Robertson,
1967-1968,,Detroit,Pistons,David,Bing,
1967-1968,,Los Angeles,Lakers,Elgin,Baylor,
1967-1968,,Cincinnati,Royals,Jerry,Lucas,
1967-1968,,Philadelphia,76ers,Wilt,Chamberlain,
1966-1967,,Cincinnati,Royals,Oscar,Robertson,
1966-1967,,Los Angeles,Lakers,Jerry,West,
1966-1967,,San Francisco,Warriors,Rick,Barry,
1966-1967,,Los Angeles,Lakers,Elgin,Baylor,
1966-1967,,Philadelphia,76ers,Wilt,Chamberlain,
1965-1966,,Cincinnati,Royals,Oscar,Robertson,
1965-1966,,Los Angeles,Lakers,Jerry,West,
1965-1966,,San Francisco,Warriors,Rick,Barry,
1965-1966,,Cincinnati,Royals,Jerry,Lucas,
1965-1966,,Philadelphia,76ers,Wilt,Chamberlain,
1964-1965,,Cincinnati,Royals,Oscar,Robertson,
1964-1965,,Los Angeles,Lakers,Jerry,West,
1964-1965,,Los Angeles,Lakers,Elgin,Baylor,
1964-1965,,Cincinnati,Royals,Jerry,Lucas,
1964-1965,,Boston,Celtics,Bill,Russell,
1963-1964,,Cincinnati,Royals,Oscar,Robertson,
1963-1964,,Los Angeles,Lakers,Jerry,West,
1963-1964,,Los Angeles,Lakers,Elgin,Baylor,
1963-1964,,St. Louis,Hawks,Bob,Pettit,
1963-1964,,San Francisco,Warriors,Wilt,Chamberlain,
1962-1963,,Cincinnati,Royals,Oscar,Robertson,
1962-1963,,Los Angeles,Lakers,Jerry,West,
1962-1963,,Los Angeles,Lakers,Elgin,Baylor,
1962-1963,,St. Louis,Hawks,Bob,Pettit,
1962-1963,,Boston,Celtics,Bill,Russell,
1961-1962,,Cincinnati,Royals,Oscar,Robertson,
1961-1962,,Los Angeles,Lakers,Jerry,West,
1961-1962,,Los Angeles,Lakers,Elgin,Baylor,
1961-1962,,St. Louis,Hawks,Bob,Pettit,
1961-1962,,Philadelphia,Warriors,Wilt,Chamberlain,
1960-1961,,Cincinnati,Royals,Oscar,Robertson,
1960-1961,,Boston,Celtics,Bob,Cousy,
1960-1961,,Los Angeles,Lakers,Elgin,Baylor,
1960-1961,,St. Louis,Hawks,Bob,Pettit,
1960-1961,,Philadelphia,Warriors,Wilt,Chamberlain,
1959-1960,,Boston,Celtics,Bob,Cousy,
1959-1960,,Detroit,Pistons,Steve,Sheppard,
1959-1960,,Minneapolis,Lakers,Elgin,Baylor,
1959-1960,,St. Louis,Hawks,Bob,Pettit,
1959-1960,,Philadelphia,Warriors,Wilt,Chamberlain,
1958-1959,,Boston,Celtics,Bill,Sharman,
1958-1959,,Boston,Celtics,Bob,Cousy,
1958-1959,,Minneapolis,Lakers,Elgin,Baylor,
1958-1959,,St. Louis,Hawks,Bob,Pettit,
1958-1959,,Boston,Celtics,Bill,Russell,
1957-1958,,Boston,Celtics,Bill,Sharman,
1957-1958,,Boston,Celtics,Bob,Cousy,
1957-1958,,Syracuse,Nationals,Adolph,Schayes,
1957-1958,,Detroit,Pistons,George,Yardley,
1957-1958,,St. Louis,Hawks,Bob,Pettit,
1956-1957,,Boston,Celtics,Bill,Sharman,
1956-1957,,Boston,Celtics,Bob,Cousy,
1956-1957,,Philadelphia,Warriors,Paul,Arizin,
1956-1957,,Syracuse,Nationals,Adolph,Schayes,
1956-1957,,St. Louis,Hawks,Bob,Pettit,
1955-1956,,Boston,Celtics,Bill,Sharman,
1955-1956,,Boston,Celtics,Bob,Cousy,
1955-1956,,Philadelphia,Warriors,Paul,Arizin,
1955-1956,,St. Louis,Hawks,Bob,Pettit,
1955-1956,,Philadelphia,Warriors,Nate,Johnston,
1954-1955,,Boston,Celtics,Bob,Cousy,
1954-1955,,Fort Wayne,Pistons,Larry,Foust,
1954-1955,,Syracuse,Nationals,Adolph,Schayes,
1954-1955,,Milwaukee,Hawks,Bob,Pettit,
1954-1955,,Philadelphia,Warriors,Nate,Johnston,
1953-1954,,Boston,Celtics,Bob,Cousy,
1953-1954,,Syracuse,Nationals,Adolph,Schayes,
1953-1954,,Philadelphia,Warriors,Nate,Johnston,
1953-1954,,New York,Knicks,Harry,Gallatin,
1953-1954,,Minneapolis,Lakers,George,Mikan,
1952-1953,,Boston,Celtics,Bob,Cousy,
1952-1953,,Syracuse,Nationals,Adolph,Schayes,
1952-1953,,Philadelphia,Warriors,Nate,Johnston,
1952-1953,,Boston,Celtics,Charles,Macauley,
1952-1953,,Minneapolis,Lakers,George,Mikan,
1951-1952,,Boston,Celtics,Bob,Cousy,
1951-1952,,Rochester,Royals,Bob,Davies,
1951-1952,,Philadelphia,Warriors,Paul,Arizin,
1951-1952,,Syracuse,Nationals,Adolph,Schayes,
1951-1952,,Boston,Celtics,Charles,Macauley,
1951-1952,,Minneapolis,Lakers,George,Mikan,
1950-1951,,Rochester,Royals,Bob,Davies,
1950-1951,,Indianapolis,Olympians,Ralph,Beard,
1950-1951,,Indianapolis,Olympians,Alex,Groza,
1950-1951,,Boston,Celtics,Charles,Macauley,
1950-1951,,Minneapolis,Lakers,George,Mikan,
1949-1950,,Rochester,Royals,Bob,Davies,
1949-1950,,Indianapolis,Olympians,Alex,Groza,
1949-1950,,Minneapolis,Lakers,George,Mikan,
1949-1950,,Minneapolis,Lakers,James,Pollard,
1949-1950,,Chicago,Stags,Max,Zaslofsky,
1948-1949,,Rochester,Royals,Bob,Davies,
1948-1949,,Philadelphia,Warriors,Joe,Fulks,
1948-1949,,Minneapolis,Lakers,George,Mikan,
1948-1949,,Minneapolis,Lakers,James,Pollard,
1948-1949,,Chicago,Stags,Max,Zaslofsky,
1947-1948,,Philadelphia,Warriors,Joe,Fulks,
1947-1948,,Philadelphia,Warriors,Howard,Dallmar,
1947-1948,,Washington,Capitols,Robert,Feerick,
1947-1948,,Boston,Celtics,Edward,Sadowski,
1947-1948,,Chicago,Stags,Max,Zaslofsky,
1946-1947,,Philadelphia,Warriors,Joe,Fulks,
1946-1947,,Washington,Capitols,Robert,Feerick,
1946-1947,,Washington,Capitols,John,McMahon,
1946-1947,,Detroit,Falcons,Stanley,Miasek,
1946-1947,,Chicago,Stags,Max,Zaslofsky,
