赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2012-2013,,Orlando,Magic,Tracy,McGrady,
2012-2013,,Los Angeles,Lakers,Chris,Paul,
2012-2013,,Memphis,Grizzlies,Carmelo,Anthony,
2012-2013,,San Antonio,Spurs,Tim,Duncan,
2012-2013,,Atlanta,Hawks,DeMarcus,Cousins,
2011-2012,,Oklahoma City,Thunder,Derrick,Rose,
2011-2012,,Cleveland,Cavaliers,Kyle,Lowry,
2011-2012,,Minnesota,Timberwolves,Kevin,Garnett,
2011-2012,,New Orleans,Hornets,Kevin,Durant,
2011-2012,,Oklahoma City,Thunder,Dwight,Howard,
2010-2011,,New Orleans,Hornets,Stephen,Curry,
2010-2011,,Portland,Trail Blazers,Dwyane,Wade,
2010-2011,,Detroit,Pistons,Pau,Gasol,
2010-2011,,Los Angeles,Clippers,Elton,Brand,
2010-2011,,Houston,Rockets,Ming,Yao,
2009-2010,,Los Angeles,Lakers,Chris,Paul,
2009-2010,,Charlotte,Bobcats,Brandon,Roy,
2009-2010,,Minnesota,Timberwolves,Kevin,Garnett,
2009-2010,,New Orleans,Hornets,Kevin,Durant,
2009-2010,,Memphis,Grizzlies,Chris,Kaman,
2008-2009,,Portland,Trail Blazers,Dwyane,Wade,
2008-2009,,Denver,Nuggets,Gilbert,Arenas,
2008-2009,,Chicago,Bulls,Chris,Bosh,
2008-2009,,Los Angeles,Clippers,Elton,Brand,
2008-2009,,Memphis,Grizzlies,Chris,Kaman,
2007-2008,,Los Angeles,Lakers,Chris,Paul,
2007-2008,,Denver,Nuggets,Gilbert,Arenas,
2007-2008,,Dallas,Mavericks,Dirk,Nowitzki,
2007-2008,,Minnesota,Timberwolves,Kevin,Garnett,
2007-2008,,Memphis,Grizzlies,Chris,Kaman,
2006-2007,,Seattle,SuperSonics,Steve,Nash,
2006-2007,,New Jersey,Nets,Jason,Kidd,
2006-2007,,Minnesota,Timberwolves,Kevin,Garnett,
2006-2007,,Los Angeles,Clippers,Elton,Brand,
2006-2007,,Memphis,Grizzlies,Chris,Kaman,
2005-2006,,Toronto,Raptors,Vince,Carter,
2005-2006,,Portland,Trail Blazers,Dwyane,Wade,
2005-2006,,Minnesota,Timberwolves,Kevin,Garnett,
2005-2006,,Dallas,Mavericks,Dirk,Nowitzki,
2005-2006,,Los Angeles,Lakers,Shaquille,O'Neal,
2004-2005,,Orlando,Magic,Tracy,McGrady,
2004-2005,,Portland,Trail Blazers,Dwyane,Wade,
2004-2005,,Minnesota,Timberwolves,Kevin,Garnett,
2004-2005,,Los Angeles,Clippers,Elton,Brand,
2004-2005,,Houston,Rockets,Ming,Yao,
2003-2004,,New Jersey,Nets,Jason,Kidd,
2003-2004,,Orlando,Magic,Tracy,McGrady,
2003-2004,,Sacramento,Kings,Chris,Webber,
2003-2004,,San Antonio,Spurs,Tim,Duncan,
2003-2004,,Houston,Rockets,Ming,Yao,
2002-2003,,Toronto,Raptors,Vince,Carter,
2002-2003,,Orlando,Magic,Tracy,McGrady,
2002-2003,,Sacramento,Kings,Chris,Webber,
2002-2003,,Los Angeles,Clippers,Elton,Brand,
2002-2003,,Houston,Rockets,Ming,Yao,
2001-2002,,Philadelphia,76ers,Allen,Iverson,
2001-2002,,Seattle,SuperSonics,Gary,Payton,
2001-2002,,Minnesota,Timberwolves,Kevin,Garnett,
2001-2002,,Sacramento,Kings,Chris,Webber,
2001-2002,,Dallas,Mavericks,Dirk,Nowitzki,
2000-2001,,Los Angeles,Lakers,Kobe,Bryant,
2000-2001,,Orlando,Magic,Tracy,McGrady,
2000-2001,,Toronto,Raptors,Vince,Carter,
2000-2001,,Minnesota,Timberwolves,Kevin,Garnett,
2000-2001,,Philadelphia,76ers,Dikembe,Mutombo,
1999-2000,,Los Angeles,Lakers,Kobe,Bryant,
1999-2000,,Philadelphia,76ers,Allen,Iverson,
1999-2000,,Detroit,Pistons,Grant,Hill,
1999-2000,,Utah,Jazz,Karl,Malone,
1999-2000,,Miami,Heat,Alonzo,Mourning,
1998-1999,,Miami,Heat,Tim,Hardaway,
1998-1999,,Seattle,SuperSonics,Gary,Payton,
1998-1999,,Detroit,Pistons,Grant,Hill,
1998-1999,,Sacramento,Kings,Chris,Webber,
1998-1999,,Los Angeles,Lakers,Shaquille,O'Neal,
1997-1998,,Miami,Heat,Tim,Hardaway,
1997-1998,,Washington,Wizards,Rod,Strickland,
1997-1998,,Seattle,SuperSonics,Vin,Baker,
1997-1998,,Detroit,Pistons,Grant,Hill,
1997-1998,,San Antonio,Spurs,David,Robinson,
1996-1997,,Seattle,SuperSonics,Gary,Payton,
1996-1997,,Sacramento,Kings,Mitch,Richmond,
1996-1997,,Chicago,Bulls,Scottie,Pippen,
1996-1997,,Charlotte,Hornets,Glen,Rice,
1996-1997,,New York,Knicks,Patrick,Ewing,
1995-1996,,Seattle,SuperSonics,Gary,Payton,
1995-1996,,Utah,Jazz,John,Stockton,
1995-1996,,Detroit,Pistons,Grant,Hill,
1995-1996,,Seattle,SuperSonics,Shawn,Kemp,
1995-1996,,Houston,Rockets,Hakeem,Olajuwon,
1994-1995,,Seattle,SuperSonics,Gary,Payton,
1994-1995,,Sacramento,Kings,Mitch,Richmond,
1994-1995,,Phoenix,Suns,Charles,Barkley,
1994-1995,,Seattle,SuperSonics,Shawn,Kemp,
1994-1995,,Los Angeles,Lakers,Shaquille,O'Neal,
1993-1994,,Phoenix,Suns,Kevin,Johnson,
1993-1994,,Sacramento,Kings,Mitch,Richmond,
1993-1994,,Phoenix,Suns,Charles,Barkley,
1993-1994,,Seattle,SuperSonics,Shawn,Kemp,
1993-1994,,San Antonio,Spurs,David,Robinson,
1992-1993,,Utah,Jazz,John,Stockton,
1992-1993,,Detroit,Pistons,Joe,Dumars,
1992-1993,,Charlotte,Hornets,Larry,Johnson,
1992-1993,,Atlanta,Hawks,Dominique,Wilkins,
1992-1993,,New York,Knicks,Patrick,Ewing,
1991-1992,,Golden State,Warriors,Tim,Hardaway,
1991-1992,,Utah,Jazz,John,Stockton,
1991-1992,,Philadelphia,76ers,Charles,Barkley,
1991-1992,,Chicago,Bulls,Scottie,Pippen,
1991-1992,,New York,Knicks,Patrick,Ewing,
1990-1991,,Phoenix,Suns,Kevin,Johnson,
1990-1991,,Portland,Trail Blazers,Clyde,Drexler,
1990-1991,,Golden State,Warriors,Chris,Mullin,
1990-1991,,Atlanta,Hawks,Dominique,Wilkins,
1990-1991,,New York,Knicks,Patrick,Ewing,
1989-1990,,Phoenix,Suns,Kevin,Johnson,
1989-1990,,Utah,Jazz,John,Stockton,
1989-1990,,Boston,Celtics,Larry,Bird,
1989-1990,,Phoenix,Suns,Tom,Chambers,
1989-1990,,Houston,Rockets,Hakeem,Olajuwon,
1988-1989,,Phoenix,Suns,Kevin,Johnson,
1988-1989,,Utah,Jazz,John,Stockton,
1988-1989,,Golden State,Warriors,Chris,Mullin,
1988-1989,,Phoenix,Suns,Tom,Chambers,
1988-1989,,New York,Knicks,Patrick,Ewing,
1987-1988,,Utah,Jazz,John,Stockton,
1987-1988,,Portland,Trail Blazers,Clyde,Drexler,
1987-1988,,Utah,Jazz,Karl,Malone,
1987-1988,,Atlanta,Hawks,Dominique,Wilkins,
1987-1988,,New York,Knicks,Patrick,Ewing,
1986-1987,,Detroit,Pistons,Isiah,Thomas,
1986-1987,,Denver,Nuggets,Fat,Lever,
1986-1987,,Philadelphia,76ers,Charles,Barkley,
1986-1987,,Atlanta,Hawks,Dominique,Wilkins,
1986-1987,,Washington,Bullets,Moses,Malone,
1985-1986,,San Antonio,Spurs,Alvin,Robertson,
1985-1986,,Milwaukee,Bucks,Sidney,Moncrief,
1985-1986,,Philadelphia,76ers,Charles,Barkley,
1985-1986,,Denver,Nuggets,Samuel,Fedor,
1985-1986,,Houston,Rockets,Hakeem,Olajuwon,
1984-1985,,Chicago,Bulls,Michael,Jordan,
1984-1985,,Milwaukee,Bucks,Sidney,Moncrief,
1984-1985,,Milwaukee,Bucks,Terry,Cummings,
1984-1985,,Houston,Rockets,Ralph,Sampson,
1984-1985,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1983-1984,,Milwaukee,Bucks,Sidney,Moncrief,
1983-1984,,Philadelphia,76ers,Julius,Erving,
1983-1984,,Utah,Jazz,Adrian,Dantley,
1983-1984,,Philadelphia,76ers,Moses,Malone,
1982-1983,,Detroit,Pistons,Isiah,Thomas,
1982-1983,,San Antonio,Spurs,George,Gervin,
1982-1983,,New Jersey,Nets,Buck,Williams,
1982-1983,,Denver,Nuggets,Samuel,Fedor,
1982-1983,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1981-1982,,Los Angeles,Lakers,Magic,Johnson,
1981-1982,,Milwaukee,Bucks,Sidney,Moncrief,
1981-1982,,Denver,Nuggets,Samuel,Fedor,
1981-1982,,Golden State,Warriors,Bernard,King,
1981-1982,,Boston,Celtics,Robert,Parish,
1980-1981,,Boston,Celtics,Nathaniel,Archibald,
1980-1981,,Kansas City,Kings,Otis,Birdsong,
1980-1981,,Utah,Jazz,Adrian,Dantley,
1980-1981,,Milwaukee,Bucks,Marques,Johnson,
1980-1981,,Houston,Rockets,Moses,Malone,
1979-1980,,Seattle,SuperSonics,Dennis,Johnson,
1979-1980,,Seattle,SuperSonics,Gus,Williams,
1979-1980,,Milwaukee,Bucks,Marques,Johnson,
1979-1980,,Atlanta,Hawks,Danny,Roundfield,
1979-1980,,Houston,Rockets,Moses,Malone,
1978-1979,,Kansas City,Kings,Phil,Ford,
1978-1979,,San Diego,Clippers,World B.,Free,
1978-1979,,Washington,Bullets,Bob,Dandridge,
1978-1979,,Phoenix,Suns,Walter,Davis,
1978-1979,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1977-1978,,New Orleans,Jazz,Pete,Maravich,
1977-1978,,Phoenix,Suns,Paul,Westphal,
1977-1978,,Phoenix,Suns,Walter,Davis,
1977-1978,,Portland,Trail Blazers,Maurice,Lucas,
1977-1978,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1976-1977,,Boston,Celtics,Joe,White,
1976-1977,,San Antonio,Spurs,George,Gervin,
1976-1977,,Philadelphia,76ers,Julius,Erving,
1976-1977,,Philadelphia,76ers,George,McGinnis,
1976-1977,,Portland,Trail Blazers,Bill,Walton,
1975-1976,,Golden State,Warriors,Donald,Smith,
1975-1976,,Buffalo,Braves,Edward,Smith,
1975-1976,,Boston,Celtics,John,Havlicek,
1975-1976,,Washington,Bullets,Elvin,Hayes,
1975-1976,,Boston,Celtics,David,Cowens,
1974-1975,,Boston,Celtics,Joe,White,
1974-1975,,Washington,Bullets,Phil,Chenier,
1974-1975,,Boston,Celtics,John,Havlicek,
1974-1975,,Seattle,SuperSonics,Spencer,Haywood,
1974-1975,,Boston,Celtics,David,Cowens,
1973-1974,,Detroit,Pistons,David,Bing,
1973-1974,,Chicago,Bulls,Norman,Van Lier,
1973-1974,,Capital,Bullets,Elvin,Hayes,
1973-1974,,Seattle,SuperSonics,Spencer,Haywood,
1973-1974,,Buffalo,Braves,Bob,McAdoo,
1972-1973,,New York,Knicks,Walt,Frazier,
1972-1973,,Atlanta,Hawks,Pete,Maravich,
1972-1973,,Golden State,Warriors,Rick,Barry,
1972-1973,,Baltimore,Bullets,Elvin,Hayes,
1972-1973,,Boston,Celtics,David,Cowens,
1971-1972,,Cincinnati,Royals,Nathaniel,Archibald,
1971-1972,,Baltimore,Bullets,Archie,Clark,
1971-1972,,Philadelphia,76ers,William,Cunningham,
1971-1972,,Chicago,Bulls,Robert,Love,
1971-1972,,Los Angeles,Lakers,Wilt,Chamberlain,
1970-1971,,Milwaukee,Bucks,Oscar,Robertson,
1970-1971,,New York,Knicks,Walt,Frazier,
1970-1971,,Baltimore,Bullets,Gus,Johnson,
1970-1971,,Chicago,Bulls,Robert,Love,
1970-1971,,New York,Knicks,Willis,Reed,
1969-1970,,Cincinnati,Royals,Oscar,Robertson,
1969-1970,,Atlanta,Hawks,Lou,Hudson,
1969-1970,,Boston,Celtics,John,Havlicek,
1969-1970,,Baltimore,Bullets,Gus,Johnson,
1969-1970,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,
1968-1969,,Philadelphia,76ers,Harold,Greer,
1968-1969,,Los Angeles,Lakers,Jerry,West,
1968-1969,,Boston,Celtics,John,Havlicek,
1968-1969,,New York,Knicks,Dave,DeBusschere,
1968-1969,,New York,Knicks,Willis,Reed,
1967-1968,,Philadelphia,76ers,Harold,Greer,
1967-1968,,Los Angeles,Lakers,Jerry,West,
1967-1968,,Boston,Celtics,John,Havlicek,
1967-1968,,New York,Knicks,Willis,Reed,
1967-1968,,Boston,Celtics,Bill,Russell,
1966-1967,,Boston,Celtics,Sam,Jones,
1966-1967,,Philadelphia,76ers,Harold,Greer,
1966-1967,,Cincinnati,Royals,Jerry,Lucas,
1966-1967,,New York,Knicks,Willis,Reed,
1966-1967,,Boston,Celtics,Bill,Russell,
1965-1966,,Boston,Celtics,Sam,Jones,
1965-1966,,Philadelphia,76ers,Harold,Greer,
1965-1966,,Boston,Celtics,John,Havlicek,
1965-1966,,Baltimore,Bullets,Gus,Johnson,
1965-1966,,Boston,Celtics,Bill,Russell,
1964-1965,,Boston,Celtics,Sam,Jones,
1964-1965,,Philadelphia,76ers,Harold,Greer,
1964-1965,,St. Louis,Hawks,Bob,Pettit,
1964-1965,,Baltimore,Bullets,Gus,Johnson,
1964-1965,,Philadelphia,76ers,Wilt,Chamberlain,
1963-1964,,Boston,Celtics,John,Havlicek,
1963-1964,,Philadelphia,76ers,Harold,Greer,
1963-1964,,Cincinnati,Royals,Jerry,Lucas,
1963-1964,,Boston,Celtics,Tom,Heinsohn,
1963-1964,,Boston,Celtics,Bill,Russell,
1962-1963,,Boston,Celtics,Bob,Cousy,
1962-1963,,Syracuse,Nationals,Harold,Greer,
1962-1963,,Boston,Celtics,Tom,Heinsohn,
1962-1963,,Detroit,Pistons,Bailey,Howell,
1962-1963,,San Francisco,Warriors,Wilt,Chamberlain,
1961-1962,,Boston,Celtics,Bob,Cousy,
1961-1962,,New York,Knicks,Richard,Guerin,
1961-1962,,Boston,Celtics,Tom,Heinsohn,
1961-1962,,Cincinnati,Royals,Jack,Twyman,
1961-1962,,Boston,Celtics,Bill,Russell,
1960-1961,,Syracuse,Nationals,Lawrence,Costello,
1960-1961,,Detroit,Pistons,Steve,Sheppard,
1960-1961,,Syracuse,Nationals,Adolph,Schayes,
1960-1961,,Boston,Celtics,Tom,Heinsohn,
1960-1961,,Boston,Celtics,Bill,Russell,
1959-1960,,Boston,Celtics,Bill,Sharman,
1959-1960,,New York,Knicks,Richard,Guerin,
1959-1960,,Syracuse,Nationals,Adolph,Schayes,
1959-1960,,Cincinnati,Royals,Jack,Twyman,
1959-1960,,Boston,Celtics,Bill,Russell,
1958-1959,,New York,Knicks,Richard,Guerin,
1958-1959,,St. Louis,Hawks,Slater,Martin,
1958-1959,,Philadelphia,Warriors,Paul,Arizin,
1958-1959,,St. Louis,Hawks,Cliff,Hagan,
1958-1959,,Syracuse,Nationals,Adolph,Schayes,
1957-1958,,Philadelphia,Warriors,Tom,Gola,
1957-1958,,St. Louis,Hawks,Slater,Martin,
1957-1958,,St. Louis,Hawks,Cliff,Hagan,
1957-1958,,Cincinnati,Royals,Maurice,Stokes,
1957-1958,,Boston,Celtics,Bill,Russell,
1956-1957,,Minneapolis,Lakers,Herman,Gilliam,
1956-1957,,St. Louis,Hawks,Slater,Martin,
1956-1957,,Rochester,Royals,Maurice,Stokes,
1956-1957,,Fort Wayne,Pistons,George,Yardley,
1956-1957,,Philadelphia,Warriors,Nate,Johnston,
1955-1956,,Philadelphia,Warriors,Jack,George,
1955-1956,,Minneapolis,Lakers,Slater,Martin,
1955-1956,,Syracuse,Nationals,Adolph,Schayes,
1955-1956,,Rochester,Royals,Maurice,Stokes,
1955-1956,,Minneapolis,Lakers,Clyde,Lovellette,
1954-1955,,Boston,Celtics,Bill,Sharman,
1954-1955,,Minneapolis,Lakers,Slater,Martin,
1954-1955,,New York,Knicks,Harry,Gallatin,
1954-1955,,Minneapolis,Lakers,Aldonse,Miksis,
1954-1955,,Syracuse,Nationals,Paul,Seymour,
1953-1954,,New York,Knicks,Carl,Braun,
1953-1954,,Boston,Celtics,Charles,Macauley,
1953-1954,,Minneapolis,Lakers,James,Pollard,
1953-1954,,Syracuse,Nationals,Paul,Seymour,
1953-1954,,Rochester,Royals,Michael,Wallace,
1952-1953,,Boston,Celtics,Bill,Sharman,
1952-1953,,Rochester,Royals,Bob,Davies,
1952-1953,,Fort Wayne,Pistons,Gary,Phillips,
1952-1953,,Minneapolis,Lakers,Aldonse,Miksis,
1952-1953,,Rochester,Royals,Michael,Wallace,
1951-1952,,Philadelphia,Warriors,Gary,Phillips,
1951-1952,,Fort Wayne,Pistons,Larry,Foust,
1951-1952,,Minneapolis,Lakers,Aldonse,Miksis,
1951-1952,,Minneapolis,Lakers,James,Pollard,
1951-1952,,Rochester,Royals,Michael,Wallace,
1950-1951,,Tri-Cities,Blackhawk,Frank,Brian,
1950-1951,,Philadelphia,Warriors,Joe,Fulks,
1950-1951,,Syracuse,Nationals,Adolph,Schayes,
1950-1951,,New York,Knicks,Richard,McGuire,
1950-1951,,Minneapolis,Lakers,Aldonse,Miksis,
1949-1950,,Anderson,Packers,Frank,Brian,
1949-1950,,Syracuse,Nationals,Al,Cervi,
1949-1950,,Syracuse,Nationals,Adolph,Schayes,
1949-1950,,Indianapolis,Olympians,Ralph,Beard,
1949-1950,,Fort Wayne,Pistons,Fred,Schaus,
1948-1949,,Rochester,Royals,Arnie,Risen,
1948-1949,,Washington,Capitols,Robert,Feerick,
1948-1949,,St. Louis,Bombers,John,Logan,
1948-1949,,Washington,Capitols,John,McMahon,
1948-1949,,Providence,Steamrollers,Kenneth,Sailors,
1947-1948,,New York,Knicks,Carl,Braun,
1947-1948,,Baltimore,Bullets,Neil,Johnson,
1947-1948,,St. Louis,Bombers,John,Logan,
1947-1948,,Chicago,Stags,Stanley,Miasek,
1947-1948,,Washington,Capitols,Fred,Scolari,
1946-1947,,Cleveland,Rebels,Frank,Baumholtz,
1946-1947,,Providence,Steamrollers,Ernest,Calverley,
1946-1947,,Chicago,Stags,Charles,Halbert,
1946-1947,,St. Louis,Bombers,John,Logan,
1946-1947,,Washington,Capitols,Fred,Scolari,
