赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2003-2004,,Los Angeles,Lakers,Shaquille,O'Neal,
2002-2003,,New Jersey,Nets,Jason,Kidd,
2002-2003,,Orlando,Magic,Tracy,McGrady,
2002-2003,,Sacramento,Kings,Chris,Webber,
2002-2003,,Utah,Jazz,Andrei,Kirilenko,
2002-2003,,Los Angeles,Lakers,Shaquille,O'Neal,
2001-2002,,Sacramento,Kings,Doug,Christie,
2001-2002,,San Antonio,Spurs,Bruce,Bowen,
2001-2002,,Los Angeles,Lakers,Kobe,Bryant,
2001-2002,,Detroit,Pistons,Clifford,Robinson,
2001-2002,,Philadelphia,76ers,Dikembe,Mutombo,
2000-2001,,Sacramento,Kings,Doug,Christie,
2000-2001,,Miami,Heat,Bruce,Bowen,
2000-2001,,Charlotte,Hornets,P.J.,Brown,
2000-2001,,Los Angeles,Lakers,Kobe,Bryant,
2000-2001,,Los Angeles,Lakers,Shaquille,O'Neal,
1999-2000,,Charlotte,Hornets,Eddie,Jones,
1999-2000,,Phoenix,Suns,Jason,Kidd,
1999-2000,,Portland,Trail Blazers,Scottie,Pippen,
1999-2000,,Portland,Trail Blazers,Cliff,Robinson,
1999-2000,,Los Angeles,Lakers,Shaquille,O'Neal,
1998-1999,,Atlanta,Hawks,Mookie,Blaylock,
1998-1999,,Charlotte,Hornets,Eddie,Jones,
1998-1999,,Miami,Heat,P.J.,Brown,
1998-1999,,Atlanta,Hawks,Dikembe,Mutombo,
1998-1999,,Philadelphia,76ers,Theo,Ratliff,
1997-1998,,Atlanta,Hawks,Mookie,Blaylock,
1997-1998,,Los Angeles,Lakers,Eddie,Jones,
1997-1998,,New York,Knicks,Charles,Oakley,
1997-1998,,San Antonio,Spurs,Tim,Duncan,
1997-1998,,San Antonio,Spurs,David,Robinson,
1996-1997,,Atlanta,Hawks,Mookie,Blaylock,
1996-1997,,Utah,Jazz,John,Stockton,
1996-1997,,Miami,Heat,P.J.,Brown,
1996-1997,,Charlotte,Hornets,Anthony,Mason,
1996-1997,,Houston,Rockets,Hakeem,Olajuwon,
1995-1996,,Atlanta,Hawks,Mookie,Blaylock,
1995-1996,,Indiana,Pacers,Derrick,McKey,
1995-1996,,Cleveland,Cavaliers,Bobby,Phills,
1995-1996,,Orlando,Magic,Horace,Grant,
1995-1996,,Houston,Rockets,Hakeem,Olajuwon,
1994-1995,,Utah,Jazz,John,Stockton,
1994-1995,,Seattle,SuperSonics,Nate,McMillan,
1994-1995,,Indiana,Pacers,Derrick,McKey,
1994-1995,,Orlando,Magic,Horace,Grant,
1994-1995,,Denver,Nuggets,Dikembe,Mutombo,
1993-1994,,Golden State,Warriors,Latrell,Sprewell,
1993-1994,,Seattle,SuperSonics,Nate,McMillan,
1993-1994,,San Antonio,Spurs,Dennis,Rodman,
1993-1994,,Chicago,Bulls,Horace,Grant,
1993-1994,,San Antonio,Spurs,David,Robinson,
1992-1993,,Phoenix,Suns,Dan,Majerle,
1992-1993,,New York,Knicks,John,Starks,
1992-1993,,Cleveland,Cavaliers,Larry,Nance,
1992-1993,,Chicago,Bulls,Horace,Grant,
1992-1993,,San Antonio,Spurs,David,Robinson,
1991-1992,,Utah,Jazz,John,Stockton,
1991-1992,,Indiana,Pacers,Micheal,Williams,
1991-1992,,Portland,Trail Blazers,Buck,Williams,
1991-1992,,Cleveland,Cavaliers,Larry,Nance,
1991-1992,,New York,Knicks,Patrick,Ewing,
1990-1991,,Phoenix,Suns,Dan,Majerle,
1990-1991,,Utah,Jazz,John,Stockton,
1990-1991,,Detroit,Pistons,Joe,Dumars,
1990-1991,,Chicago,Bulls,Scottie,Pippen,
1990-1991,,Houston,Rockets,Hakeem,Olajuwon,
1989-1990,,Dallas,Mavericks,Derek,Harper,
1989-1990,,Milwaukee,Bucks,Alvin,Robertson,
1989-1990,,Philadelphia,76ers,Rick,Mahorn,
1989-1990,,Boston,Celtics,Kevin,McHale,
1989-1990,,San Antonio,Spurs,David,Robinson,
1988-1989,,Utah,Jazz,John,Stockton,
1988-1989,,San Antonio,Spurs,Alvin,Robertson,
1988-1989,,Los Angeles,Lakers,A.C.,Green,
1988-1989,,Boston,Celtics,Kevin,McHale,
1988-1989,,New York,Knicks,Patrick,Ewing,
1987-1988,,Denver,Nuggets,Fat,Lever,
1987-1988,,San Antonio,Spurs,Alvin,Robertson,
1987-1988,,Utah,Jazz,Karl,Malone,
1987-1988,,New Jersey,Nets,Buck,Williams,
1987-1988,,New York,Knicks,Patrick,Ewing,
1987-1988,,Utah,Jazz,Mark,Eaton,
1986-1987,,Dallas,Mavericks,Derek,Harper,
1986-1987,,Utah,Jazz,Mark,Eaton,
1986-1987,,Philadelphia,76ers,Maurice,Cheeks,
1986-1987,,Houston,Rockets,Rodney,McCray,
1986-1987,,Milwaukee,Bucks,Paul,Pressey,
1985-1986,,San Antonio,Spurs,Alvin,Robertson,
1985-1986,,Boston,Celtics,Dennis,Johnson,
1985-1986,,Washington,Bullets,Manute,Bol,
1985-1986,,Los Angeles,Lakers,Michael,Cooper,
1985-1986,,Denver,Nuggets,Bill,Hanzlik,
1984-1985,,Boston,Celtics,Dennis,Johnson,
1984-1985,,Philadelphia,76ers,Bobby,Jones,
1984-1985,,Seattle,SuperSonics,Danny,Vranes,
1984-1985,,Houston,Rockets,Hakeem,Olajuwon,
1984-1985,,Denver,Nuggets,Theodore,Dunn,
1983-1984,,Boston,Celtics,Dennis,Johnson,
1983-1984,,Boston,Celtics,Larry,Bird,
1983-1984,,Atlanta,Hawks,Danny,Roundfield,
1983-1984,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1983-1984,,Denver,Nuggets,Theodore,Dunn,
1982-1983,,Boston,Celtics,Larry,Bird,
1982-1983,,Boston,Celtics,Kevin,McHale,
1982-1983,,Atlanta,Hawks,Tree,Rollins,
1982-1983,,Los Angeles,Lakers,Michael,Cooper,
1982-1983,,Denver,Nuggets,Theodore,Dunn,
1981-1982,,Milwaukee,Bucks,Sidney,Moncrief,
1981-1982,,Boston,Celtics,Larry,Bird,
1981-1982,,Seattle,SuperSonics,Lonnie,Shelton,
1981-1982,,Milwaukee,Bucks,Quinn,Buckner,
1981-1982,,Seattle,SuperSonics,Jack,Sikma,
1980-1981,,Atlanta,Hawks,Danny,Roundfield,
1980-1981,,Indiana,Pacers,Dudley,Bradley,
1980-1981,,Milwaukee,Bucks,Quinn,Buckner,
1980-1981,,Los Angeles,Lakers,Michael,Cooper,
1980-1981,,San Antonio,Spurs,George,Johnson,
1980-1981,,Portland,Trail Blazers,Kermit,Washington,
1979-1980,,Atlanta,Hawks,Eddie,Johnson,
1979-1980,,Kansas City,Kings,Scott,Wedman,
1979-1980,,Boston,Celtics,David,Cowens,
1979-1980,,Milwaukee,Bucks,Quinn,Buckner,
1979-1980,,Portland,Trail Blazers,Kermit,Washington,
1978-1979,,Atlanta,Hawks,Eddie,Johnson,
1978-1979,,Portland,Trail Blazers,Maurice,Lucas,
1978-1979,,Houston,Rockets,Moses,Malone,
1978-1979,,Detroit,Pistons,Michael,Carr,
1978-1979,,Portland,Trail Blazers,Lionel,Hollins,
1977-1978,,Chicago,Bulls,Norman,Van Lier,
1977-1978,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1977-1978,,Milwaukee,Bucks,Quinn,Buckner,
1977-1978,,Golden State,Warriors,E.C.,Coleman,
1977-1978,,Chicago,Bulls,Artis,Gilmore,
1977-1978,,Portland,Trail Blazers,Robert,Gross,
1976-1977,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1976-1977,,Kansas City,Kings,Brian,Taylor,
1976-1977,,Cleveland,Cavaliers,Jim,Brewer,
1976-1977,,Los Angeles,Lakers,Don,Chaney,
1976-1977,,Golden State,Warriors,Jamaal,Wilkes,
1975-1976,,Cleveland,Cavaliers,Jim,Cleamons,
1975-1976,,Golden State,Warriors,Donald,Smith,
1975-1976,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,
1975-1976,,Cleveland,Cavaliers,Jim,Brewer,
1975-1976,,Golden State,Warriors,Jamaal,Wilkes,
1974-1975,,Chicago,Bulls,Norman,Van Lier,
1974-1975,,Washington,Bullets,Elvin,Hayes,
1974-1975,,Chicago,Bulls,Robert,Love,
1974-1975,,Boston,Celtics,David,Cowens,
1974-1975,,Boston,Celtics,Don,Chaney,
1973-1974,,Phoenix,Suns,Hal,Uplinger,
1973-1974,,Capital,Bullets,Elvin,Hayes,
1973-1974,,Chicago,Bulls,Robert,Love,
1973-1974,,Golden State,Warriors,Nathaniel,Thurmond,
1973-1974,,Boston,Celtics,Don,Chaney,
1973-1974,,Los Angeles,Lakers,James,Price,
1972-1973,,Chicago,Bulls,Norman,Van Lier,
1972-1973,,Golden State,Warriors,Nathaniel,Thurmond,
1972-1973,,Boston,Celtics,Don,Chaney,
1972-1973,,Baltimore,Bullets,Michael,Riordan,
1972-1973,,Boston,Celtics,Paul,Silas,
1971-1972,,Chicago,Bulls,Norman,Van Lier,
1971-1972,,Chicago,Bulls,Robert,Love,
1971-1972,,Golden State,Warriors,Nathaniel,Thurmond,
1971-1972,,Boston,Celtics,Don,Chaney,
1971-1972,,Phoenix,Suns,Paul,Silas,
1970-1971,,Chicago,Bulls,Norman,Van Lier,
1970-1971,,Boston,Celtics,John,Havlicek,
1970-1971,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,
1970-1971,,Phoenix,Suns,Paul,Silas,
1970-1971,,Chicago,Bulls,Jerry,Sloan,
1969-1970,,Boston,Celtics,John,Havlicek,
1969-1970,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,
1969-1970,,Atlanta,Hawks,Bill,Bridges,
1969-1970,,Atlanta,Hawks,Joe,Caldwell,
1969-1970,,Chicago,Bulls,Jerry,Sloan,
1968-1969,,Los Angeles,Lakers,Jerry,West,
1968-1969,,Boston,Celtics,John,Havlicek,
1968-1969,,San Francisco,Warriors,Rudy,LaRusso,
1968-1969,,Atlanta,Hawks,Bill,Bridges,
1968-1969,,Boston,Celtics,Thomas,Sanders,
